|-------Julian Day Number----------|---------ECI Position Vector (km)--------|---------ECI Velocity Vector (km/s)------|
|----------------------------------|-------------|-------------|-------------|-------------|-------------|-------------|
     2459684.237373                ,  3109.484,    -5955.385,    992.106,         3.856,        3.000,        5.903
     2459684.237407                ,  3121.034,    -5946.350,    1009.810,         3.844,        3.023,        5.900
     2459684.237442                ,  3132.549,    -5937.246,    1027.503,         3.832,        3.046,        5.896
     2459684.237477                ,  3144.027,    -5928.074,    1045.184,         3.820,        3.069,        5.892
     2459684.237512                ,  3155.470,    -5918.835,    1062.853,         3.808,        3.091,        5.888
     2459684.237546                ,  3166.876,    -5909.527,    1080.510,         3.796,        3.114,        5.883
     2459684.237581                ,  3178.246,    -5900.151,    1098.154,         3.784,        3.136,        5.879
     2459684.237616                ,  3189.579,    -5890.708,    1115.785,         3.772,        3.159,        5.875
     2459684.237650                ,  3200.876,    -5881.198,    1133.404,         3.760,        3.181,        5.871
     2459684.237685                ,  3212.136,    -5871.620,    1151.010,         3.747,        3.204,        5.866
     2459684.237720                ,  3223.360,    -5861.974,    1168.602,         3.735,        3.226,        5.862
     2459684.237755                ,  3234.546,    -5852.262,    1186.181,         3.723,        3.249,        5.857
     2459684.237789                ,  3245.695,    -5842.482,    1203.747,         3.710,        3.271,        5.853
     2459684.237824                ,  3256.807,    -5832.635,    1221.298,         3.698,        3.293,        5.848
     2459684.237859                ,  3267.882,    -5822.721,    1238.836,         3.685,        3.316,        5.843
     2459684.237894                ,  3278.919,    -5812.741,    1256.359,         3.673,        3.338,        5.839
     2459684.237928                ,  3289.919,    -5802.694,    1273.868,         3.660,        3.360,        5.834
     2459684.237963                ,  3300.881,    -5792.580,    1291.362,         3.648,        3.382,        5.829
     2459684.237998                ,  3311.805,    -5782.400,    1308.841,         3.635,        3.404,        5.824
     2459684.238032                ,  3322.691,    -5772.154,    1326.306,         3.622,        3.426,        5.819
     2459684.238067                ,  3333.539,    -5761.841,    1343.755,         3.610,        3.449,        5.814
     2459684.238102                ,  3344.349,    -5751.463,    1361.188,         3.597,        3.471,        5.809
     2459684.238137                ,  3355.120,    -5741.018,    1378.606,         3.584,        3.493,        5.803
     2459684.238171                ,  3365.853,    -5730.508,    1396.008,         3.571,        3.514,        5.798
     2459684.238206                ,  3376.547,    -5719.931,    1413.394,         3.558,        3.536,        5.793
     2459684.238241                ,  3387.203,    -5709.290,    1430.764,         3.545,        3.558,        5.787
     2459684.238275                ,  3397.820,    -5698.582,    1448.117,         3.532,        3.580,        5.782
     2459684.238310                ,  3408.398,    -5687.810,    1465.454,         3.519,        3.602,        5.776
     2459684.238345                ,  3418.936,    -5676.972,    1482.774,         3.506,        3.623,        5.770
     2459684.238380                ,  3429.436,    -5666.069,    1500.076,         3.493,        3.645,        5.765
     2459684.238414                ,  3439.896,    -5655.101,    1517.362,         3.480,        3.667,        5.759
     2459684.238449                ,  3450.317,    -5644.068,    1534.630,         3.467,        3.688,        5.753
     2459684.238484                ,  3460.698,    -5632.971,    1551.880,         3.454,        3.710,        5.747
     2459684.238519                ,  3471.039,    -5621.809,    1569.113,         3.441,        3.731,        5.741
     2459684.238553                ,  3481.341,    -5610.582,    1586.327,         3.427,        3.753,        5.735
     2459684.238588                ,  3491.603,    -5599.292,    1603.523,         3.414,        3.774,        5.729
     2459684.238623                ,  3501.824,    -5587.936,    1620.701,         3.401,        3.796,        5.723
     2459684.238657                ,  3512.006,    -5576.517,    1637.860,         3.387,        3.817,        5.717
     2459684.238692                ,  3522.147,    -5565.034,    1655.001,         3.374,        3.838,        5.710
     2459684.238727                ,  3532.248,    -5553.487,    1672.122,         3.360,        3.860,        5.704
     2459684.238762                ,  3542.308,    -5541.877,    1689.224,         3.347,        3.881,        5.697
     2459684.238796                ,  3552.328,    -5530.202,    1706.307,         3.333,        3.902,        5.691
     2459684.238831                ,  3562.307,    -5518.465,    1723.370,         3.320,        3.923,        5.684
     2459684.238866                ,  3572.245,    -5506.664,    1740.413,         3.306,        3.944,        5.678
     2459684.238900                ,  3582.142,    -5494.800,    1757.436,         3.292,        3.965,        5.671
     2459684.238935                ,  3591.999,    -5482.873,    1774.439,         3.279,        3.986,        5.664
     2459684.238970                ,  3601.813,    -5470.883,    1791.421,         3.265,        4.007,        5.657
     2459684.239005                ,  3611.587,    -5458.830,    1808.383,         3.251,        4.028,        5.651
     2459684.239039                ,  3621.319,    -5446.715,    1825.325,         3.237,        4.049,        5.644
     2459684.239074                ,  3631.010,    -5434.538,    1842.245,         3.223,        4.070,        5.637
     2459684.239109                ,  3640.659,    -5422.298,    1859.144,         3.209,        4.090,        5.629
     2459684.239144                ,  3650.266,    -5409.995,    1876.021,         3.195,        4.111,        5.622
     2459684.239178                ,  3659.832,    -5397.631,    1892.877,         3.181,        4.132,        5.615
     2459684.239213                ,  3669.355,    -5385.205,    1909.712,         3.167,        4.152,        5.608
     2459684.239248                ,  3678.837,    -5372.717,    1926.524,         3.153,        4.173,        5.600
     2459684.239282                ,  3688.276,    -5360.168,    1943.314,         3.139,        4.193,        5.593
     2459684.239317                ,  3697.673,    -5347.557,    1960.082,         3.125,        4.214,        5.586
     2459684.239352                ,  3707.027,    -5334.885,    1976.827,         3.111,        4.234,        5.578
     2459684.239387                ,  3716.339,    -5322.151,    1993.550,         3.097,        4.255,        5.570
     2459684.239421                ,  3725.609,    -5309.357,    2010.249,         3.083,        4.275,        5.563
     2459684.239456                ,  3734.836,    -5296.501,    2026.926,         3.068,        4.295,        5.555
     2459684.239491                ,  3744.019,    -5283.585,    2043.579,         3.054,        4.315,        5.547
     2459684.239525                ,  3753.160,    -5270.609,    2060.208,         3.040,        4.336,        5.539
     2459684.239560                ,  3762.258,    -5257.572,    2076.814,         3.025,        4.356,        5.531
     2459684.239595                ,  3771.313,    -5244.474,    2093.397,         3.011,        4.376,        5.523
     2459684.239630                ,  3780.324,    -5231.317,    2109.955,         2.997,        4.396,        5.515
     2459684.239664                ,  3789.293,    -5218.099,    2126.488,         2.982,        4.416,        5.507
     2459684.239699                ,  3798.217,    -5204.822,    2142.998,         2.968,        4.436,        5.499
     2459684.239734                ,  3807.099,    -5191.485,    2159.482,         2.953,        4.456,        5.491
     2459684.239769                ,  3815.936,    -5178.089,    2175.942,         2.939,        4.475,        5.482
     2459684.239803                ,  3824.730,    -5164.633,    2192.377,         2.924,        4.495,        5.474
     2459684.239838                ,  3833.480,    -5151.118,    2208.787,         2.909,        4.515,        5.466
     2459684.239873                ,  3842.186,    -5137.543,    2225.171,         2.895,        4.535,        5.457
     2459684.239907                ,  3850.848,    -5123.910,    2241.529,         2.880,        4.554,        5.449
     2459684.239942                ,  3859.465,    -5110.219,    2257.862,         2.865,        4.574,        5.440
     2459684.239977                ,  3868.039,    -5096.468,    2274.169,         2.850,        4.593,        5.431
     2459684.240012                ,  3876.568,    -5082.659,    2290.450,         2.836,        4.613,        5.423
     2459684.240046                ,  3885.053,    -5068.792,    2306.704,         2.821,        4.632,        5.414
     2459684.240081                ,  3893.493,    -5054.867,    2322.932,         2.806,        4.651,        5.405
     2459684.240116                ,  3901.888,    -5040.884,    2339.133,         2.791,        4.671,        5.396
     2459684.240150                ,  3910.239,    -5026.843,    2355.308,         2.776,        4.690,        5.387
     2459684.240185                ,  3918.545,    -5012.744,    2371.455,         2.761,        4.709,        5.378
     2459684.240220                ,  3926.806,    -4998.588,    2387.575,         2.746,        4.728,        5.369
     2459684.240255                ,  3935.022,    -4984.375,    2403.667,         2.731,        4.747,        5.360
     2459684.240289                ,  3943.193,    -4970.104,    2419.732,         2.716,        4.766,        5.350
     2459684.240324                ,  3951.319,    -4955.777,    2435.769,         2.701,        4.785,        5.341
     2459684.240359                ,  3959.399,    -4941.392,    2451.778,         2.686,        4.804,        5.332
     2459684.240394                ,  3967.434,    -4926.951,    2467.759,         2.671,        4.823,        5.322
     2459684.240428                ,  3975.424,    -4912.454,    2483.711,         2.656,        4.842,        5.313
     2459684.240463                ,  3983.368,    -4897.900,    2499.635,         2.640,        4.861,        5.303
     2459684.240498                ,  3991.266,    -4883.290,    2515.531,         2.625,        4.879,        5.294
     2459684.240532                ,  3999.118,    -4868.624,    2531.397,         2.610,        4.898,        5.284
     2459684.240567                ,  4006.925,    -4853.902,    2547.234,         2.595,        4.917,        5.274
     2459684.240602                ,  4014.686,    -4839.125,    2563.042,         2.579,        4.935,        5.264
     2459684.240637                ,  4022.400,    -4824.292,    2578.820,         2.564,        4.954,        5.255
     2459684.240671                ,  4030.069,    -4809.404,    2594.569,         2.548,        4.972,        5.245
     2459684.240706                ,  4037.691,    -4794.461,    2610.288,         2.533,        4.990,        5.235
     2459684.240741                ,  4045.267,    -4779.462,    2625.977,         2.518,        5.009,        5.225
     2459684.240775                ,  4052.797,    -4764.409,    2641.635,         2.502,        5.027,        5.215
     2459684.240810                ,  4060.280,    -4749.302,    2657.264,         2.487,        5.045,        5.204
     2459684.240845                ,  4067.717,    -4734.139,    2672.861,         2.471,        5.063,        5.194
     2459684.240880                ,  4075.107,    -4718.923,    2688.428,         2.456,        5.081,        5.184
     2459684.240914                ,  4082.450,    -4703.653,    2703.965,         2.440,        5.099,        5.174
     2459684.240949                ,  4089.747,    -4688.328,    2719.470,         2.424,        5.117,        5.163
     2459684.240984                ,  4096.997,    -4672.950,    2734.943,         2.409,        5.135,        5.153
     2459684.241019                ,  4104.199,    -4657.518,    2750.386,         2.393,        5.153,        5.142
     2459684.241053                ,  4111.355,    -4642.033,    2765.796,         2.377,        5.171,        5.132
     2459684.241088                ,  4118.464,    -4626.495,    2781.175,         2.362,        5.188,        5.121
     2459684.241123                ,  4125.525,    -4610.903,    2796.522,         2.346,        5.206,        5.110
     2459684.241157                ,  4132.539,    -4595.259,    2811.837,         2.330,        5.224,        5.100
     2459684.241192                ,  4139.506,    -4579.562,    2827.120,         2.314,        5.241,        5.089
     2459684.241227                ,  4146.425,    -4563.813,    2842.370,         2.298,        5.259,        5.078
     2459684.241262                ,  4153.296,    -4548.011,    2857.587,         2.283,        5.276,        5.067
     2459684.241296                ,  4160.120,    -4532.157,    2872.771,         2.267,        5.293,        5.056
     2459684.241331                ,  4166.897,    -4516.251,    2887.923,         2.251,        5.311,        5.045
     2459684.241366                ,  4173.625,    -4500.294,    2903.041,         2.235,        5.328,        5.034
     2459684.241400                ,  4180.306,    -4484.285,    2918.126,         2.219,        5.345,        5.023
     2459684.241435                ,  4186.939,    -4468.224,    2933.177,         2.203,        5.362,        5.011
     2459684.241470                ,  4193.524,    -4452.112,    2948.195,         2.187,        5.379,        5.000
     2459684.241505                ,  4200.061,    -4435.949,    2963.179,         2.171,        5.396,        4.989
     2459684.241539                ,  4206.549,    -4419.736,    2978.128,         2.155,        5.413,        4.978
     2459684.241574                ,  4212.990,    -4403.471,    2993.044,         2.139,        5.430,        4.966
     2459684.241609                ,  4219.382,    -4387.157,    3007.925,         2.123,        5.447,        4.955
     2459684.241644                ,  4225.726,    -4370.791,    3022.771,         2.107,        5.463,        4.943
     2459684.241678                ,  4232.021,    -4354.376,    3037.583,         2.090,        5.480,        4.931
     2459684.241713                ,  4238.268,    -4337.911,    3052.359,         2.074,        5.497,        4.920
     2459684.241748                ,  4244.466,    -4321.396,    3067.101,         2.058,        5.513,        4.908
     2459684.241782                ,  4250.616,    -4304.832,    3081.808,         2.042,        5.530,        4.896
     2459684.241817                ,  4256.717,    -4288.218,    3096.478,         2.025,        5.546,        4.884
     2459684.241852                ,  4262.769,    -4271.555,    3111.114,         2.009,        5.562,        4.873
     2459684.241887                ,  4268.772,    -4254.844,    3125.714,         1.993,        5.579,        4.861
     2459684.241921                ,  4274.726,    -4238.083,    3140.277,         1.977,        5.595,        4.849
     2459684.241956                ,  4280.631,    -4221.274,    3154.805,         1.960,        5.611,        4.837
     2459684.241991                ,  4286.488,    -4204.416,    3169.296,         1.944,        5.627,        4.824
     2459684.242025                ,  4292.295,    -4187.511,    3183.751,         1.928,        5.643,        4.812
     2459684.242060                ,  4298.053,    -4170.557,    3198.169,         1.911,        5.659,        4.800
     2459684.242095                ,  4303.761,    -4153.555,    3212.551,         1.895,        5.675,        4.788
     2459684.242130                ,  4309.421,    -4136.506,    3226.896,         1.878,        5.691,        4.775
     2459684.242164                ,  4315.031,    -4119.410,    3241.203,         1.862,        5.707,        4.763
     2459684.242199                ,  4320.591,    -4102.266,    3255.474,         1.845,        5.722,        4.751
     2459684.242234                ,  4326.102,    -4085.075,    3269.706,         1.829,        5.738,        4.738
     2459684.242269                ,  4331.564,    -4067.838,    3283.902,         1.812,        5.754,        4.725
     2459684.242303                ,  4336.975,    -4050.554,    3298.059,         1.796,        5.769,        4.713
     2459684.242338                ,  4342.337,    -4033.223,    3312.179,         1.779,        5.785,        4.700
     2459684.242373                ,  4347.650,    -4015.846,    3326.261,         1.762,        5.800,        4.687
     2459684.242407                ,  4352.912,    -3998.423,    3340.304,         1.746,        5.815,        4.675
     2459684.242442                ,  4358.125,    -3980.955,    3354.309,         1.729,        5.831,        4.662
     2459684.242477                ,  4363.287,    -3963.440,    3368.275,         1.713,        5.846,        4.649
     2459684.242512                ,  4368.400,    -3945.881,    3382.203,         1.696,        5.861,        4.636
     2459684.242546                ,  4373.462,    -3928.276,    3396.092,         1.679,        5.876,        4.623
     2459684.242581                ,  4378.475,    -3910.626,    3409.942,         1.662,        5.891,        4.610
     2459684.242616                ,  4383.437,    -3892.931,    3423.752,         1.646,        5.906,        4.597
     2459684.242650                ,  4388.349,    -3875.191,    3437.523,         1.629,        5.921,        4.584
     2459684.242685                ,  4393.211,    -3857.408,    3451.255,         1.612,        5.935,        4.571
     2459684.242720                ,  4398.022,    -3839.580,    3464.947,         1.595,        5.950,        4.557
     2459684.242755                ,  4402.783,    -3821.708,    3478.600,         1.579,        5.965,        4.544
     2459684.242789                ,  4407.494,    -3803.792,    3492.212,         1.562,        5.979,        4.531
     2459684.242824                ,  4412.154,    -3785.832,    3505.784,         1.545,        5.994,        4.517
     2459684.242859                ,  4416.763,    -3767.830,    3519.316,         1.528,        6.008,        4.504
     2459684.242894                ,  4421.322,    -3749.784,    3532.807,         1.511,        6.022,        4.490
     2459684.242928                ,  4425.830,    -3731.695,    3546.258,         1.494,        6.037,        4.477
     2459684.242963                ,  4430.288,    -3713.563,    3559.668,         1.477,        6.051,        4.463
     2459684.242998                ,  4434.694,    -3695.389,    3573.037,         1.460,        6.065,        4.450
     2459684.243032                ,  4439.050,    -3677.172,    3586.366,         1.443,        6.079,        4.436
     2459684.243067                ,  4443.355,    -3658.914,    3599.652,         1.427,        6.093,        4.422
     2459684.243102                ,  4447.609,    -3640.613,    3612.898,         1.410,        6.107,        4.408
     2459684.243137                ,  4451.813,    -3622.271,    3626.102,         1.393,        6.121,        4.394
     2459684.243171                ,  4455.965,    -3603.887,    3639.264,         1.376,        6.135,        4.380
     2459684.243206                ,  4460.066,    -3585.462,    3652.385,         1.359,        6.149,        4.367
     2459684.243241                ,  4464.116,    -3566.995,    3665.463,         1.341,        6.162,        4.353
     2459684.243275                ,  4468.115,    -3548.488,    3678.500,         1.324,        6.176,        4.338
     2459684.243310                ,  4472.062,    -3529.940,    3691.494,         1.307,        6.189,        4.324
     2459684.243345                ,  4475.959,    -3511.352,    3704.446,         1.290,        6.203,        4.310
     2459684.243380                ,  4479.804,    -3492.724,    3717.355,         1.273,        6.216,        4.296
     2459684.243414                ,  4483.597,    -3474.055,    3730.221,         1.256,        6.229,        4.282
     2459684.243449                ,  4487.340,    -3455.347,    3743.045,         1.239,        6.243,        4.267
     2459684.243484                ,  4491.031,    -3436.599,    3755.826,         1.222,        6.256,        4.253
     2459684.243519                ,  4494.670,    -3417.812,    3768.563,         1.205,        6.269,        4.239
     2459684.243553                ,  4498.258,    -3398.985,    3781.257,         1.187,        6.282,        4.224
     2459684.243588                ,  4501.795,    -3380.120,    3793.908,         1.170,        6.295,        4.210
     2459684.243623                ,  4505.280,    -3361.216,    3806.515,         1.153,        6.308,        4.195
     2459684.243657                ,  4508.713,    -3342.273,    3819.078,         1.136,        6.321,        4.180
     2459684.243692                ,  4512.095,    -3323.293,    3831.598,         1.119,        6.333,        4.166
     2459684.243727                ,  4515.425,    -3304.274,    3844.073,         1.101,        6.346,        4.151
     2459684.243762                ,  4518.703,    -3285.217,    3856.504,         1.084,        6.359,        4.136
     2459684.243796                ,  4521.929,    -3266.122,    3868.891,         1.067,        6.371,        4.122
     2459684.243831                ,  4525.104,    -3246.990,    3881.234,         1.050,        6.384,        4.107
     2459684.243866                ,  4528.227,    -3227.821,    3893.532,         1.032,        6.396,        4.092
     2459684.243900                ,  4531.298,    -3208.615,    3905.785,         1.015,        6.408,        4.077
     2459684.243935                ,  4534.317,    -3189.373,    3917.993,         0.998,        6.420,        4.062
     2459684.243970                ,  4537.284,    -3170.093,    3930.156,         0.980,        6.433,        4.047
     2459684.244005                ,  4540.199,    -3150.777,    3942.275,         0.963,        6.445,        4.032
     2459684.244039                ,  4543.062,    -3131.426,    3954.347,         0.946,        6.457,        4.017
     2459684.244074                ,  4545.873,    -3112.038,    3966.375,         0.928,        6.469,        4.002
     2459684.244109                ,  4548.632,    -3092.615,    3978.357,         0.911,        6.480,        3.986
     2459684.244144                ,  4551.338,    -3073.156,    3990.293,         0.894,        6.492,        3.971
     2459684.244178                ,  4553.993,    -3053.662,    4002.183,         0.876,        6.504,        3.956
     2459684.244213                ,  4556.595,    -3034.133,    4014.027,         0.859,        6.515,        3.940
     2459684.244248                ,  4559.146,    -3014.570,    4025.826,         0.841,        6.527,        3.925
     2459684.244282                ,  4561.644,    -2994.971,    4037.577,         0.824,        6.538,        3.910
     2459684.244317                ,  4564.090,    -2975.339,    4049.283,         0.807,        6.550,        3.894
     2459684.244352                ,  4566.483,    -2955.672,    4060.942,         0.789,        6.561,        3.879
     2459684.244387                ,  4568.824,    -2935.972,    4072.554,         0.772,        6.572,        3.863
     2459684.244421                ,  4571.113,    -2916.238,    4084.120,         0.754,        6.584,        3.847
     2459684.244456                ,  4573.350,    -2896.470,    4095.639,         0.737,        6.595,        3.832
     2459684.244491                ,  4575.534,    -2876.669,    4107.110,         0.719,        6.606,        3.816
     2459684.244525                ,  4577.666,    -2856.836,    4118.535,         0.702,        6.617,        3.800
     2459684.244560                ,  4579.745,    -2836.969,    4129.912,         0.684,        6.628,        3.784
     2459684.244595                ,  4581.772,    -2817.071,    4141.241,         0.667,        6.638,        3.769
     2459684.244630                ,  4583.746,    -2797.139,    4152.524,         0.649,        6.649,        3.753
     2459684.244664                ,  4585.668,    -2777.176,    4163.758,         0.632,        6.660,        3.737
     2459684.244699                ,  4587.537,    -2757.181,    4174.944,         0.614,        6.670,        3.721
     2459684.244734                ,  4589.354,    -2737.155,    4186.083,         0.597,        6.681,        3.705
     2459684.244769                ,  4591.118,    -2717.097,    4197.174,         0.579,        6.691,        3.689
     2459684.244803                ,  4592.829,    -2697.008,    4208.216,         0.562,        6.702,        3.673
     2459684.244838                ,  4594.488,    -2676.888,    4219.210,         0.544,        6.712,        3.657
     2459684.244873                ,  4596.095,    -2656.737,    4230.155,         0.527,        6.722,        3.640
     2459684.244907                ,  4597.648,    -2636.556,    4241.052,         0.509,        6.732,        3.624
     2459684.244942                ,  4599.149,    -2616.345,    4251.900,         0.492,        6.742,        3.608
     2459684.244977                ,  4600.598,    -2596.104,    4262.700,         0.474,        6.752,        3.592
     2459684.245012                ,  4601.993,    -2575.833,    4273.450,         0.456,        6.762,        3.575
     2459684.245046                ,  4603.336,    -2555.532,    4284.151,         0.439,        6.772,        3.559
     2459684.245081                ,  4604.627,    -2535.203,    4294.803,         0.421,        6.781,        3.542
     2459684.245116                ,  4605.864,    -2514.844,    4305.406,         0.404,        6.791,        3.526
     2459684.245150                ,  4607.049,    -2494.456,    4315.959,         0.386,        6.801,        3.510
     2459684.245185                ,  4608.181,    -2474.040,    4326.463,         0.369,        6.810,        3.493
     2459684.245220                ,  4609.260,    -2453.596,    4336.917,         0.351,        6.820,        3.476
     2459684.245255                ,  4610.286,    -2433.123,    4347.321,         0.333,        6.829,        3.460
     2459684.245289                ,  4611.260,    -2412.623,    4357.676,         0.316,        6.838,        3.443
     2459684.245324                ,  4612.181,    -2392.095,    4367.980,         0.298,        6.847,        3.426
     2459684.245359                ,  4613.049,    -2371.539,    4378.234,         0.281,        6.856,        3.410
     2459684.245394                ,  4613.864,    -2350.957,    4388.437,         0.263,        6.865,        3.393
